 stabbr, psuid, wt_nrdad, lolv, lnlv, hhmn, lolvnliv, r_type, grnd_cn, singmult, r_res3, lowflor, bldg_age, r_basemt, basentr, gaswthtr, tight, ventfreq
MA    ,             4,   15948.110,       1.255,       1.255,       0.791, 2     , 77    , 1     , 1     , 1     ,  1    ,  5    ,  1    ,  1    ,  1    ,  1    ,  3    
MA    ,             4,   17423.707,       0.291,       0.291,       0.291, 2     , 77    , 1     , 1     , 1     ,  1    ,  4    ,  2    , 77    ,  1    ,  1    ,  3    
MA    ,             4,   15948.110,       0.334,       0.570,       0.258, 1     , 77    , 1     , 1     , 1     ,  1    ,  4    ,  1    ,  1    ,  2    ,  1    ,  4    
MA    ,             4,   15948.110,       0.263,       0.814,       0.173, 1     , 77    , 1     , 1     , 1     ,  1    ,  5    ,  1    ,  1    ,  2    ,  1    ,  3    
MA    ,             4,   11254.251,       0.542,       0.834,       0.393, 1     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  1    ,  3    ,  5    
MA    ,             4,   11254.251,       0.706,       1.000,       0.605, 1     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  1    ,  2    ,  4    
MA    ,             4,   11254.251,       0.230,       0.599,       0.270, 1     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  2    ,  2    ,  4    
MA    ,             4,   11254.251,       0.548,       0.548,       0.502, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  1    ,  2    ,  3    
MA    ,             4,   11254.251,       1.843,       1.843,       1.329, 2     ,  1    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  2    ,  1    ,  1    
MA    ,             4,   11254.251,       0.702,       2.241,       0.674, 1     ,  4    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  2    ,  4    
MA    ,             4,   11254.251,       0.058,       0.585,       0.159, 1     ,  4    , 1     , 2     , 3     , 77    ,  6    ,  1    ,  1    ,  1    ,  2    ,  4    
MA    ,             4,   13585.013,       0.144,       0.478,       0.124, 1     ,  4    , 1     , 2     , 3     , 77    ,  2    ,  1    ,  1    ,  2    ,  1    ,  4    
MA    ,             4,   13585.013,       0.209,       0.867,       0.265, 1     ,  4    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  1    ,  1    ,  2    
MA    ,             4,   13585.013,       0.171,       0.457,       0.247, 1     ,  4    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  1    ,  1    ,  5    
MA    ,             4,   13585.013,       0.334,       1.474,       0.334, 1     ,  1    , 1     , 2     , 3     , 77    ,  4    ,  1    ,  1    ,  2    ,  1    ,  4    
MA    ,             4,   13585.013,       0.337,       0.958,       0.273, 1     ,  2    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  1    ,  2    
MA    ,             4,   13585.013,       1.082,       1.082,       0.569, 2     ,  2    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  1    ,  5    
MA    ,             4,   13585.013,       1.353,       1.353,       0.885, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  1    ,  4    
MA    ,             4,   13585.013,       1.187,       1.187,       0.775, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  1    ,  3    
MA    ,             4,   13585.013,       0.326,       0.326,       0.229, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  1    ,  1    ,  1    
MA    ,             4,   13585.013,       2.995,       2.995,       1.869, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  1    ,  1    ,  1    
MA    ,             4,   13585.013,       1.627,       1.627,       1.028, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  2    ,  1    ,  3    
MA    ,             4,   13585.013,       1.348,       1.348,       1.033, 2     ,  1    , 1     , 2     , 3     , 77    ,  5    ,  1    ,  1    ,  1    ,  1    ,  3    
