idnum, state, state2, stfips, zip, region, typebldg, floor, room, basement, windoor, rep, stratum, wave, starttm, stoptm, startdt, stopdt, activity, pcterr, adjwt, dupflag, zipflag, cntyfips, county
1,AK,AK, 2,99501, 1,2,1,1,N, , 1, 1, 21,1136,1136,020289,021189,     1.1,    23.0,    65.463495,0,0, 20,ANCHORAGE           
2,AK,AK, 2,99501, 1,1,1,2,N, , 4, 1, 23,0700,0700,022289,022489,     1.6,    16.9,    67.630554,0,0, 20,ANCHORAGE           
3,AK,AK, 2,99501, 1,1,1,3,N, , 4, 1, 30,0800,0800,022089,022289,     0.7,    38.6,    67.630554,0,0, 20,ANCHORAGE           
4,AK,AK, 2,99501, 1,1,1,3,N, , 5, 1, 39,0700,0700,021889,022089,     0.3,     0.0,    63.974718,0,0, 20,ANCHORAGE           
5,AK,AK, 2,99501, 1,1,0,4,Y, , 3, 1, 43,1100,1600,021289,021489,     1.1,    31.2,    55.453022,0,0, 20,ANCHORAGE           
6,AK,AK, 2,99501, 1,1,1,3,N, , 3, 1, 48,1500,1500,021789,021989,     1.2,    17.5,    55.453022,0,0, 20,ANCHORAGE           
7,AK,AK, 2,99501, 1,1,1,3,N, , 3, 1, 49,1910,1950,021989,022189,     0.0,     0.0,    55.453022,0,0, 20,ANCHORAGE           
8,AK,AK, 2,99501, 1,1,0,1,Y, , 5, 1, 50,1200,1200,021889,022089,     0.9,    44.4,    63.974718,0,0, 20,ANCHORAGE           
9,AK,AK, 2,99501, 1,1,0,4,Y, , 4, 1, 59,0800,0800,021889,022089,     0.9,    27.7,    67.630554,0,0, 20,ANCHORAGE           
10,AK,AK, 2,99501, 1,1,1,3,N, , 1, 1, 59,1900,1930,021989,022189,     0.0,     0.0,    65.463495,0,0, 20,ANCHORAGE           
11,AK,AK, 2,99501, 1,1,0,4,Y, , 4, 1, 55,0730,0730,030389,030389,     0.5,    45.7,    67.630554,0,0, 20,ANCHORAGE           
12,AK,AK, 2,99501, 1,1,1,1,N, , 5, 1, 62,1500,1438,022589,022789,     0.2,     0.0,    63.974718,0,0, 20,ANCHORAGE           
13,AK,AK, 2,99501, 1,2,0,2,Y, , 2, 1, 66,2100,1900,022589,022889,     2.1,    14.9,    58.562450,0,0, 20,ANCHORAGE           
14,AK,AK, 2,99501, 1,1,0,4,Y, , 3, 1, 66,1315,1315,030389,030389,     1.0,    25.5,    55.453022,0,0, 20,ANCHORAGE           
15,AK,AK, 2,99501, 1,2,1,7,N, , 1, 1, 67,1830,2015,022489,022689,     0.4,     0.0,    65.463495,0,0, 20,ANCHORAGE           
16,AK,AK, 2,99501, 1,1,2,3,Y, , 4, 1, 67,1100,1100,022789,030389,     0.3,     0.0,    67.630554,0,0, 20,ANCHORAGE           
17,AK,AK, 2,99501, 1,1,1,1,N, , 3, 1, 69,1340,1500,030389,030389,     0.4,     0.0,    55.453022,0,0, 20,ANCHORAGE           
18,AK,AK, 2,99502, 1,1,1,1,N, , 2, 1, 28,1300,1300,021189,021389,     0.5,    36.7,    58.562450,0,0, 20,ANCHORAGE           
19,AK,AK, 2,99502, 1,1,0,2,Y, , 2, 1, 29,0645,0640,020289,021089,     0.0,     0.0,    58.562450,0,0, 20,ANCHORAGE           
20,AK,AK, 2,99502, 1,0,0,7, , , 1, 1, 24,0829,1132,031489,031789,     0.2,     0.0,    65.463495,0,0, 20,ANCHORAGE           
21,AK,AK, 2,99502, 1,1,1,3,N, , 4, 1, 26,1845,1905,021289,021489,     0.0,     0.0,    67.630554,0,0, 20,ANCHORAGE           
22,AK,AK, 2,99502, 1,1,0,0,Y, , 3, 1, 31,2150,2130,021189,021389,     1.1,    39.9,    55.453022,0,0, 20,ANCHORAGE           
23,AK,AK, 2,99502, 1,1,0,1,Y, , 4, 1, 32,1900,1900,021389,021589,     0.3,     0.0,    67.630554,0,0, 20,ANCHORAGE           
24,AK,AK, 2,99502, 1,1,0,1,Y, , 5, 1, 36,0700,0645,021389,021589,     1.0,    30.4,    63.974718,0,0, 20,ANCHORAGE           
25,AK,AK, 2,99502, 1,1,0,4,Y, , 3, 1, 39,0800,0800,021589,021789,     0.5,     0.0,    55.453022,0,0, 20,ANCHORAGE           
