year,X1,X2,Incumbent,DemVote,RepVote,DemShare,Contested,DemShare_Adj
1986,1,1,1,128930,44122,0.745036174097959,TRUE,0.745036174097959
1986,1,2,1,109229,52869,0.673845451516984,TRUE,0.673845451516984
1986,1,3,1,114276,49806,0.696456649723919,TRUE,0.696456649723919
1986,1,4,-1,66999,77212,0.464590079813606,TRUE,0.464590079813606
1986,1,5,1,63371,98664,0.39109451661678,TRUE,0.39109451661678
1986,1,6,-1,62133,111304,0.358245357103732,TRUE,0.358245357103732
1986,2,1,0,121848,100260,0.548597979361392,TRUE,0.548597979361392
1986,2,2,-1,43614,148770,0.226702844311377,TRUE,0.226702844311377
1986,3,1,-1,32396,113653,0.221815965874467,TRUE,0.221815965874467
1986,3,2,1,91033,47022,0.65939661729021,TRUE,0.65939661729021
1986,3,3,1,120222,0,1,FALSE,0.75
1986,3,4,1,134387,0,1,FALSE,0.75
1986,3,5,1,113690,0,1,FALSE,0.75
1986,3,6,1,131051,0,1,FALSE,0.75
1986,3,7,1,124183,0,1,FALSE,0.75
1986,3,8,0,104651,40259,0.722179283693327,TRUE,0.722179283693327
1986,3,9,1,110026,0,1,FALSE,0.75
1986,3,10,1,121578,49451,0.710861900613346,TRUE,0.710861900613346
1986,3,11,1,114926,0,1,FALSE,0.75
1986,4,1,-1,54787,70739,0.436459378933448,TRUE,0.436459378933448
1986,4,2,-1,29688,85479,0.257782177186173,TRUE,0.257782177186173
1986,5,1,1,85077,62397,0.576894910289271,TRUE,0.576894910289271
1986,5,2,-1,44586,113603,0.281852720479932,TRUE,0.281852720479932
1986,6,98,-1,0,168403,0,FALSE,0.25
1986,11,98,1,106351,53767,0.664203899624027,TRUE,0.664203899624027
1986,12,1,1,93497,29175,0.762170666492761,TRUE,0.762170666492761
1986,12,2,1,83821,35167,0.704449188153427,TRUE,0.704449188153427
1986,12,3,1,73743,51882,0.587008955223881,TRUE,0.587008955223881
1986,12,4,-1,49290,78699,0.385111220495511,TRUE,0.385111220495511
1986,12,5,-1,32145,94253,0.254315732843874,TRUE,0.254315732843874
1986,12,6,1,67460,28286,0.704572514778685,TRUE,0.704572514778685
1986,12,7,-1,24462,92254,0.209585660920525,TRUE,0.209585660920525
1986,12,8,1,57820,34268,0.62787768221701,TRUE,0.62787768221701
1986,12,9,1,89634,40226,0.690235638379794,TRUE,0.690235638379794
1986,12,10,1,46666,0,1,FALSE,0.75
1986,12,11,-1,35280,75037,0.319805650987608,TRUE,0.319805650987608
1986,12,12,-1,41967,72966,0.365143170368824,TRUE,0.365143170368824
1986,12,13,0,43920,82866,0.346410486962283,TRUE,0.346410486962283
1986,12,14,1,63057,23822,0.725802552975978,TRUE,0.725802552975978
1986,13,1,0,67139,55413,0.547840916508911,TRUE,0.547840916508911
1986,13,2,1,69771,35132,0.665100140129453,TRUE,0.665100140129453
1986,13,3,1,83985,60367,0.581806971846597,TRUE,0.581806971846597
1986,13,4,-1,43581,92214,0.320932287639457,TRUE,0.320932287639457
1986,13,5,-1,49728,93473,0.347260144831391,TRUE,0.347260144831391
1986,13,6,0,58317,27773,0.677395748635149,TRUE,0.677395748635149
1986,13,7,1,62836,18384,0.77365180989904,TRUE,0.77365180989904
1986,13,8,1,70605,0,1,FALSE,0.75
1986,13,9,0,50738,18040,0.737706824856786,TRUE,0.737706824856786
1986,13,10,1,76318,0,1,FALSE,0.75
1986,13,11,1,41689,4053,0.911394342180053,FALSE,0.75
1986,13,12,1,42138,2752,0.938694586767654,FALSE,0.75
1986,13,13,1,61089,10941,0.848104956268222,TRUE,0.848104956268222
1986,13,14,-1,27950,64647,0.30184563214791,TRUE,0.30184563214791
1986,13,15,-1,42147,58214,0.419953966182083,TRUE,0.419953966182083
1986,13,16,NA,NA,NA,NA,NA,NA
1986,13,17,1,95094,15587,0.859171854247793,TRUE,0.859171854247793
1986,13,18,1,43343,2479,0.94589934965737,FALSE,0.75
1986,13,19,NA,NA,NA,NA,NA,NA
1986,13,20,-1,66359,80220,0.452718329365052,TRUE,0.452718329365052
1986,13,21,-1,28339,102070,0.217308621337484,TRUE,0.217308621337484
1986,13,22,-1,36852,94244,0.281106975041191,TRUE,0.281106975041191
1986,13,23,1,140759,0,1,FALSE,0.75
1986,13,24,-1,49225,117285,0.295627890216804,TRUE,0.295627890216804
1986,13,25,-1,33864,104216,0.245249130938586,TRUE,0.245249130938586
1986,13,26,-1,0,94840,0,FALSE,0.25
1986,13,27,-1,82491,83430,0.497170340101615,TRUE,0.497170340101615
1986,13,28,1,103908,48213,0.683061510245134,TRUE,0.683061510245134
1986,13,29,-1,34194,99704,0.255373493256061,TRUE,0.255373493256061
1986,13,30,-1,86777,83402,0.50991602959237,TRUE,0.50991602959237
1986,13,31,-1,67574,92508,0.422121162904012,TRUE,0.422121162904012
1986,13,32,1,99745,0,1,FALSE,0.75
1986,13,33,1,109256,19147,0.850883546334587,TRUE,0.850883546334587
1986,13,34,0,56898,85856,0.398573770262129,TRUE,0.398573770262129
1986,14,1,1,88224,29811,0.747439318846105,TRUE,0.747439318846105
1986,14,2,1,128399,0,1,FALSE,0.75
1986,14,3,1,107804,66693,0.617798586795189,TRUE,0.617798586795189
1986,14,4,1,86133,55165,0.609583999773528,TRUE,0.609583999773528
1986,14,5,-1,45648,87593,0.342597248594652,TRUE,0.342597248594652
1986,14,6,1,98142,43858,0.691140845070423,TRUE,0.691140845070423
1986,14,7,0,69557,110118,0.38712675664394,TRUE,0.38712675664394
1986,14,8,1,85731,70047,0.550340869699187,TRUE,0.550340869699187
1986,14,9,-1,0,120890,0,FALSE,0.25
1986,14,10,-1,40248,118603,0.253369509792195,TRUE,0.253369509792195
1986,14,11,1,112405,46785,0.706105911175325,TRUE,0.706105911175325
1986,14,12,1,97135,46937,0.674211505358432,TRUE,0.674211505358432
1986,14,13,-1,71381,100701,0.414808056624168,TRUE,0.414808056624168
1986,14,14,1,104726,0,1,FALSE,0.75
1986,14,15,-1,56972,74829,0.432257721868575,TRUE,0.432257721868575
1986,14,16,-1,34399,100784,0.254462469393341,TRUE,0.254462469393341
1986,14,17,-1,36157,101027,0.263565721950082,TRUE,0.263565721950082
1986,14,18,1,104164,61164,0.630044517565083,TRUE,0.630044517565083
1986,14,19,-1,37223,100055,0.271150512099535,TRUE,0.271150512099535
1986,14,20,1,136638,0,1,FALSE,0.75
1986,14,21,-1,26324,111148,0.191486266294227,TRUE,0.191486266294227
1986,14,22,1,131650,0,1,FALSE,0.75
1986,14,23,-1,63875,79595,0.445215027531888,TRUE,0.445215027531888
1986,21,1,1,122376,4572,0.963985253804707,FALSE,0.75
1986,21,2,1,99268,19149,0.838291799319354,TRUE,0.838291799319354
1986,21,3,1,102949,52618,0.661766312906979,TRUE,0.661766312906979
1986,21,4,0,57925,61633,0.484492882115793,TRUE,0.484492882115793
1986,21,5,1,82466,34738,0.703610798266271,TRUE,0.703610798266271
1986,21,6,-1,32064,98196,0.246153846153846,TRUE,0.246153846153846
